192.168.1.189
192.168.1.207
192.168.1.189
192.168.1.164
192.168.1.154
CacheNum: 10000 virtualNum: 100
real cache num: 10000
is actived ? true
714 192.168.1.192 0 70
715 192.168.1.192 1 70
716 192.168.1.192 2 70
717 192.168.1.192 3 70
718 192.168.1.150 0 65
719 192.168.1.153 0 60
720 192.168.1.153 1 60
721 192.168.1.153 2 60
722 192.168.1.154 0 76
723 192.168.1.154 1 76
724 192.168.1.117 0 62
725 192.168.1.117 1 62
726 192.168.1.117 2 62
727 192.168.1.117 3 62
728 192.168.1.200 0 46
729 192.168.1.200 1 46
730 192.168.1.148 0 83
731 192.168.1.162 0 39
732 192.168.1.162 1 39
733 192.168.1.162 2 39
734 192.168.1.189 0 41
735 192.168.1.189 1 41
736 192.168.1.189 2 41
737 192.168.1.189 3 41
738 192.168.1.150 0 31
739 192.168.1.150 1 31
740 192.168.1.193 0 35
741 192.168.1.193 1 35
742 192.168.1.193 2 35
743 192.168.1.193 3 35
744 192.168.1.193 4 35
745 192.168.1.193 5 35
746 192.168.1.193 6 35
747 192.168.1.193 7 35
748 192.168.1.193 8 35
749 192.168.1.193 9 35
750 192.168.1.193 10 35
751 192.168.1.193 11 35
752 192.168.1.153 0 33
753 192.168.1.153 1 33
754 192.168.1.153 2 33
755 192.168.1.153 3 33
756 192.168.1.153 4 33
757 192.168.1.153 5 33
758 192.168.1.202 0 40
759 192.168.1.194 0 36
760 192.168.1.194 1 36
761 192.168.1.159 0 21
762 192.168.1.159 1 21
763 192.168.1.193 0 18
764 192.168.1.194 0 12
765 192.168.1.200 0 40
766 192.168.1.200 1 40
767 192.168.1.200 2 40
768 192.168.1.200 3 40
769 192.168.1.200 4 40
770 192.168.1.200 5 40
771 192.168.1.190 0 67
772 192.168.1.164 0 40
773 192.168.1.164 1 40
774 192.168.1.164 2 40
775 192.168.1.164 3 40
776 192.168.1.164 4 40
777 192.168.1.164 5 40
778 192.168.1.164 6 40
779 192.168.1.164 7 40
780 192.168.1.184 0 44
781 192.168.1.184 1 44
782 192.168.1.184 2 44
783 192.168.1.184 3 44
784 192.168.1.148 0 42
785 192.168.1.164 0 59
786 192.168.1.207 0 17
787 192.168.1.207 1 17
788 192.168.1.207 2 17
789 192.168.1.202 0 70
790 192.168.1.202 1 70
791 192.168.1.202 2 70
792 192.168.1.202 3 70
793 192.168.1.202 4 70
794 192.168.1.202 5 70
795 192.168.1.202 6 70
796 192.168.1.202 7 70
797 192.168.1.190 0 13
